Iteration,RMSE,Time,method
5600,0.118308,2741,fsgd
3300,0.11842,2733,fsgd
5000,0.117611,2762,fsgd
4200,0.117705,2757,fsgd
4100,0.117228,2770,fsgd
4100,0.117356,2769,fsgd
4000,0.117309,2766,fsgd
5400,0.116576,2798,fsgd
5100,0.116548,2800,fsgd
5800,0.116498,2801,fsgd
3400,0.116558,2796,fsgd
3400,0.116388,2803,fsgd
5200,0.11559,2838,fsgd
5700,0.115529,2839,fsgd
5900,0.115486,2841,fsgd
4200,0.115453,2839,fsgd
4300,0.115416,2838,fsgd
4200,0.115425,2838,fsgd
3500,0.115378,2844,fsgd
4100,0.115399,2842,fsgd
5500,0.114498,2886,fsgd
6000,0.114479,2887,fsgd
5300,0.114587,2881,fsgd
5800,0.114551,2884,fsgd
3500,0.114464,2885,fsgd
4400,0.114434,2888,fsgd
4300,0.114395,2889,fsgd
5400,0.113601,2929,fsgd
5600,0.113496,2934,fsgd
3600,0.113425,2933,fsgd
5900,0.11346,2930,fsgd
4200,0.113438,2929,fsgd
4300,0.113488,2928,fsgd
5500,0.112734,2966,fsgd
5700,0.112698,2968,fsgd
6100,0.112658,2972,fsgd
3700,0.112577,2973,fsgd
4400,0.112608,2968,fsgd
4500,0.112431,2971,fsgd
6000,0.111889,3005,fsgd
5800,0.11187,3005,fsgd
6200,0.111805,3010,fsgd
3800,0.111639,3017,fsgd
4300,0.111678,3011,fsgd
3600,0.111642,3014,fsgd
4400,0.111628,3015,fsgd
6300,0.111029,3055,fsgd
5900,0.11098,3059,fsgd
6100,0.110941,3061,fsgd
5600,0.110936,3061,fsgd
3900,0.110876,3060,fsgd
4400,0.110851,3062,fsgd
4500,0.110872,3061,fsgd
3700,0.110692,3070,fsgd
4500,0.110726,3074,fsgd
6400,0.109968,3113,fsgd
5700,0.109974,3113,fsgd
6000,0.109942,3115,fsgd
4000,0.109841,3113,fsgd
4500,0.109871,3113,fsgd
4600,0.109679,3119,fsgd
6200,0.109091,3151,fsgd
5800,0.109064,3153,fsgd
6500,0.109064,3153,fsgd
6100,0.109052,3153,fsgd
3800,0.109036,3149,fsgd
4600,0.108958,3159,fsgd
4100,0.108946,3159,fsgd
6200,0.108375,3193,fsgd
4600,0.108372,3192,fsgd
6300,0.108201,3198,fsgd
5900,0.108146,3200,fsgd
4700,0.108152,3198,fsgd
4600,0.108065,3196,fsgd
6600,0.107339,3233,fsgd
6400,0.10722,3239,fsgd
3900,0.107207,3237,fsgd
4700,0.107158,3239,fsgd
4200,0.107124,3239,fsgd
4700,0.107187,3238,fsgd
6000,0.106431,3270,fsgd
6700,0.106408,3272,fsgd
4700,0.106478,3264,fsgd
4800,0.106346,3272,fsgd
6300,0.105889,3294,fsgd
