Iteration,RMSE,Time,method
4800,0.629814,2510,dsgd
5600,0.628039,2546,dsgd
3300,0.631365,2481,dsgd
2900,0.630066,2493,dsgd
4700,0.628778,2512,dsgd
3400,0.628401,2513,dsgd
6000,0.625996,2583,dsgd
4900,0.626558,2521,dsgd
5700,0.626208,2571,dsgd
5900,0.625539,2590,dsgd
4900,0.624423,2599,dsgd
4800,0.620221,2611,dsgd
5700,0.62323,2601,dsgd
3400,0.621544,2604,dsgd
6100,0.619184,2626,dsgd
5000,0.618913,2627,dsgd
5000,0.61872,2642,dsgd
3000,0.620268,2610,dsgd
6000,0.618619,2643,dsgd
3500,0.619009,2617,dsgd
5800,0.618812,2627,dsgd
4900,0.61671,2656,dsgd
5100,0.61288,2690,dsgd
5800,0.615116,2670,dsgd
6200,0.613467,2682,dsgd
5100,0.611266,2692,dsgd
3100,0.611319,2692,dsgd
6100,0.61088,2692,dsgd
3500,0.612368,2686,dsgd
5000,0.609613,2719,dsgd
5200,0.609135,2737,dsgd
5900,0.6101,2714,dsgd
3600,0.609435,2718,dsgd
6300,0.608338,2740,dsgd
5900,0.608246,2741,dsgd
5200,0.607857,2743,dsgd
6200,0.605182,2760,dsgd
5100,0.603519,2772,dsgd
5300,0.602935,2784,dsgd
3600,0.603657,2768,dsgd
6000,0.602534,2787,dsgd
3200,0.604334,2756,dsgd
6400,0.602001,2794,dsgd
6000,0.601888,2795,dsgd
5200,0.601171,2816,dsgd
5300,0.601635,2804,dsgd
6300,0.601511,2809,dsgd
5400,0.600115,2823,dsgd
3700,0.602124,2792,dsgd
6500,0.596468,2841,dsgd
6100,0.597288,2836,dsgd
3700,0.598612,2829,dsgd
5300,0.596001,2852,dsgd
6100,0.596322,2844,dsgd
5500,0.594771,2867,dsgd
5400,0.595582,2854,dsgd
6400,0.595473,2857,dsgd
3300,0.596567,2838,dsgd
6600,0.593704,2880,dsgd
3800,0.594164,2867,dsgd
6200,0.592615,2882,dsgd
6200,0.591886,2898,dsgd
5600,0.590711,2907,dsgd
5400,0.592007,2893,dsgd
5500,0.590196,2907,dsgd
6500,0.590256,2909,dsgd
3800,0.592322,2883,dsgd
6700,0.589325,2923,dsgd
3400,0.589663,2912,dsgd
6300,0.588484,2932,dsgd
3900,0.588589,2926,dsgd
5700,0.587981,2947,dsgd
6600,0.586547,2955,dsgd
5600,0.586491,2954,dsgd
6300,0.587785,2943,dsgd
5500,0.586672,2949,dsgd
6800,0.584993,2962,dsgd
3900,0.584677,2959,dsgd
6400,0.583862,2980,dsgd
3500,0.584088,2963,dsgd
5700,0.582872,2995,dsgd
6700,0.583081,2994,dsgd
6400,0.582637,2995,dsgd
5600,0.582031,2999,dsgd
5800,0.582849,2990,dsgd
6900,0.581656,3007,dsgd
4000,0.583181,2991,dsgd
6500,0.579742,3027,dsgd
6800,0.579002,3034,dsgd
3600,0.579231,3028,dsgd
5800,0.579097,3033,dsgd
6500,0.57874,3038,dsgd
7000,0.577782,3048,dsgd
5900,0.57772,3048,dsgd
4100,0.577276,3057,dsgd
5700,0.577938,3043,dsgd
4000,0.579201,3010,dsgd
5900,0.574416,3075,dsgd
6600,0.575367,3069,dsgd
6900,0.574818,3073,dsgd
6600,0.574212,3081,dsgd
7100,0.574092,3087,dsgd
4100,0.571566,3103,dsgd
4200,0.572594,3097,dsgd
6000,0.572271,3097,dsgd
5800,0.571733,3099,dsgd
3700,0.573847,3073,dsgd
6700,0.570633,3115,dsgd
6700,0.570382,3123,dsgd
6000,0.570742,3112,dsgd
7000,0.570486,3121,dsgd
7200,0.570269,3127,dsgd
6800,0.566405,3161,dsgd
4300,0.567651,3146,dsgd
4200,0.567872,3143,dsgd
6800,0.566154,3163,dsgd
5900,0.566859,3149,dsgd
7300,0.565751,3166,dsgd
6100,0.565969,3164,dsgd
3800,0.566295,3150,dsgd
6100,0.567061,3148,dsgd
7100,0.565751,3166,dsgd
6900,0.564257,3196,dsgd
6900,0.563632,3199,dsgd
4400,0.564191,3197,dsgd
7400,0.562706,3206,dsgd
6000,0.563019,3202,dsgd
4300,0.563466,3198,dsgd
6200,0.562171,3210,dsgd
3900,0.561621,3213,dsgd
7200,0.561374,3216,dsgd
6200,0.561527,3215,dsgd
7000,0.560673,3235,dsgd
7000,0.560495,3236,dsgd
7500,0.559703,3249,dsgd
4400,0.55924,3251,dsgd
6100,0.559109,3250,dsgd
4500,0.559397,3245,dsgd
6300,0.558007,3255,dsgd
7300,0.55732,3261,dsgd
7100,0.556942,3273,dsgd
7100,0.556875,3275,dsgd
6300,0.557035,3265,dsgd
4000,0.557252,3261,dsgd
7600,0.556041,3288,dsgd
6200,0.555181,3296,dsgd
4600,0.554804,3297,dsgd
7400,0.554237,3309,dsgd
4500,0.555251,3294,dsgd
7200,0.554143,3312,dsgd
7200,0.553916,3313,dsgd
6400,0.554034,3308,dsgd
7700,0.552718,3328,dsgd
6400,0.553188,3319,dsgd
4700,0.551104,3346,dsgd
4100,0.552367,3320,dsgd
7500,0.550676,3350,dsgd
7300,0.550305,3354,dsgd
7300,0.550153,3357,dsgd
6300,0.550936,3345,dsgd
7800,0.5498,3364,dsgd
4600,0.550212,3352,dsgd
6500,0.549862,3363,dsgd
7600,0.548522,3384,dsgd
6500,0.549158,3371,dsgd
4800,0.548813,3380,dsgd
7400,0.54743,3395,dsgd
7400,0.546844,3398,dsgd
7900,0.546711,3398,dsgd
4700,0.546405,3403,dsgd
6400,0.546686,3398,dsgd
4200,0.547269,3387,dsgd
6600,0.546043,3413,dsgd
7700,0.545701,3424,dsgd
7500,0.545047,3433,dsgd
8000,0.544534,3438,dsgd
7500,0.544612,3436,dsgd
6600,0.545385,3429,dsgd
6500,0.543837,3445,dsgd
4800,0.5439,3445,dsgd
4900,0.544545,3431,dsgd
6700,0.542556,3462,dsgd
4300,0.542307,3454,dsgd
7800,0.541922,3468,dsgd
7600,0.541564,3476,dsgd
8100,0.541348,3478,dsgd
7600,0.540965,3481,dsgd
6700,0.540964,3482,dsgd
6600,0.540723,3485,dsgd
6800,0.539899,3498,dsgd
5000,0.539732,3497,dsgd
7900,0.538616,3508,dsgd
7700,0.538418,3517,dsgd
4900,0.539623,3488,dsgd
4400,0.538628,3506,dsgd
8200,0.538317,3522,dsgd
7700,0.538249,3526,dsgd
6900,0.537448,3535,dsgd
6800,0.537722,3533,dsgd
6700,0.537385,3534,dsgd
8000,0.536056,3553,dsgd
5100,0.536847,3542,dsgd
7800,0.535471,3557,dsgd
8300,0.534757,3560,dsgd
4500,0.534803,3559,dsgd
7800,0.534536,3565,dsgd
6800,0.533862,3581,dsgd
6900,0.533924,3580,dsgd
7000,0.534145,3576,dsgd
5000,0.53468,3559,dsgd
8100,0.533652,3591,dsgd
7900,0.532869,3597,dsgd
8400,0.532496,3598,dsgd
7900,0.531744,3605,dsgd
4600,0.531852,3603,dsgd
5200,0.533052,3593,dsgd
6900,0.530854,3618,dsgd
8200,0.529936,3631,dsgd
8000,0.529326,3640,dsgd
8000,0.529865,3634,dsgd
8500,0.529159,3639,dsgd
7000,0.528188,3659,dsgd
7100,0.529847,3630,dsgd
8100,0.527859,3690,dsgd
7000,0.53019,3626,dsgd
8100,0.527834,3702,dsgd
8300,0.528058,3679,dsgd
5300,0.528004,3649,dsgd
5100,0.529514,3630,dsgd
4700,0.527817,3644,dsgd
8600,0.526953,3742,dsgd
7100,0.526523,3756,dsgd
8400,0.526028,3763,dsgd
7200,0.526426,3759,dsgd
8200,0.526068,3761,dsgd
7100,0.526117,3760,dsgd
8200,0.525895,3759,dsgd
5400,0.524908,3774,dsgd
4800,0.52361,3784,dsgd
7200,0.523299,3796,dsgd
8700,0.523552,3787,dsgd
5200,0.524359,3776,dsgd
8500,0.523124,3805,dsgd
7300,0.522815,3806,dsgd
8300,0.522707,3807,dsgd
